FeedbackID,VehicleID,Timestamp,RideComfortScore,HandlingScore,Comment
H0227,V060,2025-07-01 11:46:00,8.1,7.7,Handles well on rough terrain.
H0228,V031,2025-07-01 11:47:00,7.6,8.9,Great handling in wet conditions.
H0229,V010,2025-07-01 11:48:00,9.4,6.9,Smooth ride with slight vibrations.
H0230,V021,2025-07-01 11:49:00,9.6,8.2,Great handling in wet conditions.
H0231,V063,2025-07-01 11:50:00,8.0,8.1,Cabin noise higher than expected.
H0232,V100,2025-07-01 11:51:00,5.8,5.1,Great handling in wet conditions.
H0233,V020,2025-07-01 11:52:00,7.9,8.8,Handles well on rough terrain.
H0234,V058,2025-07-01 11:53:00,8.9,8.7,Cabin noise higher than expected.
H0235,V098,2025-07-01 11:54:00,8.9,6.9,Cabin noise higher than expected.
H0236,V054,2025-07-01 11:55:00,9.7,7.6,Needs suspension tuning.
H0237,V088,2025-07-01 11:56:00,10.0,6.7,Cabin noise higher than expected.
H0238,V016,2025-07-01 11:57:00,7.1,8.6,Smooth ride with slight vibrations.
H0239,V006,2025-07-01 11:58:00,9.4,9.2,Vibrations felt on steering wheel.
H0240,V004,2025-07-01 11:59:00,6.2,5.6,Noticeable noise from tires.
H0241,V086,2025-07-01 12:00:00,5.7,9.9,Needs suspension tuning.
H0242,V080,2025-07-01 12:01:00,9.7,9.9,Comfortable and quiet.
H0243,V074,2025-07-01 12:02:00,8.7,7.7,Comfortable and quiet.
H0244,V063,2025-07-01 12:03:00,9.3,8.1,Vibrations felt on steering wheel.
H0245,V079,2025-07-01 12:04:00,6.0,6.2,Cabin noise higher than expected.
H0246,V091,2025-07-01 12:05:00,5.1,9.7,Vibrations felt on steering wheel.
H0247,V032,2025-07-01 12:06:00,10.0,5.7,Comfortable and quiet.
H0248,V062,2025-07-01 12:07:00,8.8,7.6,Smooth ride with slight vibrations.
H0249,V061,2025-07-01 12:08:00,7.9,5.3,Needs suspension tuning.
H0250,V004,2025-07-01 12:09:00,5.7,7.9,Smooth ride with slight vibrations.
H0251,V003,2025-07-01 12:10:00,9.3,8.5,Noticeable noise from tires.
H0252,V096,2025-07-01 12:11:00,8.0,8.6,Noticeable noise from tires.
H0253,V016,2025-07-01 12:12:00,5.5,8.1,Needs suspension tuning.
H0254,V018,2025-07-01 12:13:00,8.8,6.1,Cabin noise higher than expected.
H0255,V004,2025-07-01 12:14:00,6.2,5.6,Smooth ride with slight vibrations.
H0256,V063,2025-07-01 12:15:00,5.6,7.1,Smooth ride with slight vibrations.
H0257,V058,2025-07-01 12:16:00,6.8,7.2,Handles well on rough terrain.
H0258,V056,2025-07-01 12:17:00,9.0,8.3,Vibrations felt on steering wheel.
H0259,V051,2025-07-01 12:18:00,6.8,8.3,Great handling in wet conditions.
H0260,V036,2025-07-01 12:19:00,8.5,9.6,Cabin noise higher than expected.
H0261,V010,2025-07-01 12:20:00,5.6,6.2,Noticeable noise from tires.
H0262,V020,2025-07-01 12:21:00,7.8,6.2,Comfortable and quiet.
H0263,V057,2025-07-01 12:22:00,6.1,5.9,Cabin noise higher than expected.
H0264,V091,2025-07-01 12:23:00,5.7,5.0,Noticeable noise from tires.
H0265,V043,2025-07-01 12:24:00,5.3,5.8,Noticeable noise from tires.
H0266,V013,2025-07-01 12:25:00,8.0,6.2,Vibrations felt on steering wheel.
H0267,V015,2025-07-01 12:26:00,5.7,9.4,Smooth ride with slight vibrations.
H0268,V100,2025-07-01 12:27:00,6.3,5.9,Vibrations felt on steering wheel.
H0269,V025,2025-07-01 12:28:00,8.8,7.6,Comfortable and quiet.
H0270,V010,2025-07-01 12:29:00,8.7,8.3,Great handling in wet conditions.
H0271,V005,2025-07-01 12:30:00,9.4,5.4,Smooth ride with slight vibrations.
H0272,V072,2025-07-01 12:31:00,7.1,10.0,Comfortable and quiet.
H0273,V033,2025-07-01 12:32:00,8.2,9.9,Vibrations felt on steering wheel.
H0274,V032,2025-07-01 12:33:00,7.4,5.1,Smooth ride with slight vibrations.
H0275,V003,2025-07-01 12:34:00,6.9,5.6,Cabin noise higher than expected.
H0276,V089,2025-07-01 12:35:00,8.8,6.0,Great handling in wet conditions.
H0277,V033,2025-07-01 12:36:00,10.0,9.0,Noticeable noise from tires.
H0278,V055,2025-07-01 12:37:00,9.1,8.1,Vibrations felt on steering wheel.
H0279,V003,2025-07-01 12:38:00,6.6,6.3,Noticeable noise from tires.
H0280,V015,2025-07-01 12:39:00,7.8,8.1,Smooth ride with slight vibrations.
H0281,V039,2025-07-01 12:40:00,8.1,5.4,Vibrations felt on steering wheel.
H0282,V099,2025-07-01 12:41:00,7.5,6.1,Great handling in wet conditions.
H0283,V084,2025-07-01 12:42:00,8.4,7.6,Cabin noise higher than expected.
H0284,V069,2025-07-01 12:43:00,8.9,8.5,Vibrations felt on steering wheel.
H0285,V079,2025-07-01 12:44:00,8.7,6.6,Smooth ride with slight vibrations.
H0286,V060,2025-07-01 12:45:00,5.8,5.3,Handles well on rough terrain.
H0287,V071,2025-07-01 12:46:00,9.2,9.5,Vibrations felt on steering wheel.
H0288,V013,2025-07-01 12:47:00,6.3,6.2,Cabin noise higher than expected.
H0289,V020,2025-07-01 12:48:00,6.0,7.4,Handles well on rough terrain.
H0290,V095,2025-07-01 12:49:00,7.2,5.1,Needs suspension tuning.
H0291,V027,2025-07-01 12:50:00,9.2,7.7,Noticeable noise from tires.
H0292,V016,2025-07-01 12:51:00,5.8,6.1,Comfortable and quiet.
H0293,V055,2025-07-01 12:52:00,7.8,5.2,Vibrations felt on steering wheel.
H0294,V072,2025-07-01 12:53:00,7.0,6.3,Smooth ride with slight vibrations.
H0295,V019,2025-07-01 12:54:00,9.7,5.5,Handles well on rough terrain.
H0296,V039,2025-07-01 12:55:00,8.7,6.9,Needs suspension tuning.
H0297,V055,2025-07-01 12:56:00,9.9,5.5,Handles well on rough terrain.
H0298,V022,2025-07-01 12:57:00,7.0,8.9,Cabin noise higher than expected.
H0299,V045,2025-07-01 12:58:00,8.0,6.7,Smooth ride with slight vibrations.
H0300,V075,2025-07-01 12:59:00,6.3,5.9,Great handling in wet conditions.
H0301,V037,2025-07-01 13:00:00,6.0,6.9,Great handling in wet conditions.
H0302,V094,2025-07-01 13:01:00,7.8,8.7,Vibrations felt on steering wheel.
H0303,V083,2025-07-01 13:02:00,9.6,8.0,Needs suspension tuning.
H0304,V092,2025-07-01 13:03:00,5.7,9.4,Comfortable and quiet.
H0305,V044,2025-07-01 13:04:00,6.4,6.3,Handles well on rough terrain.
H0306,V070,2025-07-01 13:05:00,7.1,6.4,Smooth ride with slight vibrations.
H0307,V050,2025-07-01 13:06:00,8.5,6.6,Noticeable noise from tires.
H0308,V075,2025-07-01 13:07:00,7.2,7.2,Cabin noise higher than expected.
H0309,V054,2025-07-01 13:08:00,7.7,8.5,Cabin noise higher than expected.
H0310,V036,2025-07-01 13:09:00,9.0,7.9,Comfortable and quiet.
H0311,V060,2025-07-01 13:10:00,8.0,6.8,Cabin noise higher than expected.
H0312,V059,2025-07-01 13:11:00,6.0,9.3,Comfortable and quiet.
H0313,V062,2025-07-01 13:12:00,5.6,9.2,Cabin noise higher than expected.
H0314,V039,2025-07-01 13:13:00,6.0,7.4,Vibrations felt on steering wheel.
H0315,V100,2025-07-01 13:14:00,8.6,5.6,Handles well on rough terrain.
H0316,V046,2025-07-01 13:15:00,5.2,9.3,Noticeable noise from tires.
H0317,V060,2025-07-01 13:16:00,6.8,8.8,Handles well on rough terrain.
H0318,V086,2025-07-01 13:17:00,6.2,8.1,Vibrations felt on steering wheel.
H0319,V029,2025-07-01 13:18:00,5.4,5.1,Vibrations felt on steering wheel.
H0320,V089,2025-07-01 13:19:00,7.2,9.4,Noticeable noise from tires.
H0321,V070,2025-07-01 13:20:00,9.0,8.9,Handles well on rough terrain.
H0322,V007,2025-07-01 13:21:00,5.9,5.4,Needs suspension tuning.
H0323,V061,2025-07-01 13:22:00,8.7,5.7,Needs suspension tuning.
H0324,V032,2025-07-01 13:23:00,8.8,8.4,Smooth ride with slight vibrations.
H0325,V064,2025-07-01 13:24:00,5.1,7.6,Needs suspension tuning.
H0326,V077,2025-07-01 13:25:00,7.9,9.5,Noticeable noise from tires.
H0327,V020,2025-07-01 13:26:00,5.6,7.6,Noticeable noise from tires.
H0328,V098,2025-07-01 13:27:00,9.9,6.2,Noticeable noise from tires.
H0329,V016,2025-07-01 13:28:00,5.5,9.8,Comfortable and quiet.
H0330,V061,2025-07-01 13:29:00,5.6,5.7,Smooth ride with slight vibrations.
H0331,V099,2025-07-01 13:30:00,9.9,6.0,Noticeable noise from tires.
H0332,V050,2025-07-01 13:31:00,5.6,9.1,Vibrations felt on steering wheel.
H0333,V027,2025-07-01 13:32:00,8.2,9.7,Cabin noise higher than expected.
H0334,V043,2025-07-01 13:33:00,9.0,9.6,Needs suspension tuning.
H0335,V037,2025-07-01 13:34:00,8.3,5.8,Needs suspension tuning.
H0336,V050,2025-07-01 13:35:00,7.8,8.6,Cabin noise higher than expected.
H0337,V034,2025-07-01 13:36:00,6.5,10.0,Cabin noise higher than expected.
H0338,V053,2025-07-01 13:37:00,7.9,9.4,Noticeable noise from tires.
H0339,V074,2025-07-01 13:38:00,6.0,9.5,Handles well on rough terrain.
H0340,V016,2025-07-01 13:39:00,6.8,5.1,Smooth ride with slight vibrations.
H0341,V043,2025-07-01 13:40:00,8.1,9.9,Comfortable and quiet.
H0342,V040,2025-07-01 13:41:00,6.7,5.7,Noticeable noise from tires.
